country,gdp_per_capita,life_expectancy,inflation_rate
Afghanistan,357.261152798144,65.617,13.7121023720065
Albania,6846.42669381643,78.769,6.72520271530052
Algeria,4961.55257664733,76.129,9.26551551551555
Angola,2929.69445467272,64.246,21.3552901320822
Antigua and Barbuda,20105.1989085164,77.483,7.53107834634287
Argentina,13935.6811110049,75.806,72.430757531824
Armenia,6571.97445545099,74.7658536585366,8.64091108973852
Australia,64997.0136536475,83.2,6.59409671341846
Austria,52176.6649141178,81.2951219512195,8.54686993188449
Azerbaijan,7770.594223351,74.125,13.8522590144267
"Bahamas, The",34957.1613279737,74.491,5.60540633583038
Bahrain,30470.5219276023,80.992,3.62574104304489
Bangladesh,2716.48592780431,74.265,7.69695437176898
Belarus,7994.64806074889,74.1033658536585,15.209675274081
Belgium,50822.2518538518,81.7487804878049,9.59751172872501
Belize,7068.45478269722,72.19,6.27689319447547
Benin,1266.42710981159,60.475,1.35077863583529
Bhutan,3711.32767981591,72.754,5.63916671396366
Bolivia,3643.92826984604,67.434,1.74632872945968
Bosnia and Herzegovina,7655.59421024383,76.777,14.0208440826771
Botswana,8328.70905682185,68.749,11.665567478802
Brazil,9281.33334441234,74.872,9.28010608956872
Brunei Darussalam,36632.9280421411,72.917,3.68225030604211
Bulgaria,13999.6719197289,74.1609756097561,15.3252589264367
Burundi,250.634225368744,62.882,18.8008786664945
Cabo Verde,4323.31362032709,75.907,7.9309292543009
Cambodia,2325.03050040841,70.528,5.34370264895434
Cameroon,1604.87726954895,62.443,6.24767713343864
Canada,56256.8007264015,81.2453658536585,6.80280115341609
Central African Republic,467.359825026238,18.818,5.58316735183248
Chad,966.036468278568,54.528,5.78802687843618
Chile,15405.6165774073,79.176,11.643866711056
China,12970.6056414327,78.202,1.97357555739052
Colombia,6680.44506854481,76.508,10.1772313546166
"Congo, Rep.",2620.83804304713,65.0,3.04344334698473
Costa Rica,13625.9008491478,79.316,8.27477490232656
Cote d'Ivoire,2333.37128334477,61.562,5.27616724262842
Croatia,18466.0955472648,77.5756097560976,10.7805806758686
Cyprus,33894.44921875,80.434,8.39548297993332
Czechia,28282.2236715857,78.9292682926829,15.1001651468372
Denmark,68091.3191138669,81.3048780487805,7.69656699889264
Djibouti,3133.25779772463,65.54,5.17980847967062
Dominica,9323.66089490562,71.081,2.88490226829352
Dominican Republic,10104.2449349081,74.211,8.81109209279586
Ecuador,6515.58528418336,76.577,3.46616972213076
"Egypt, Arab Rep.",4233.30783744856,71.01,13.8956609775178
El Salvador,5074.60210221806,71.969,7.19861615609861
Equatorial Guinea,7589.29964909381,63.355,4.78671704710806
Estonia,28451.1477825175,77.8439024390244,19.3982634080616
Ethiopia,1011.07332413462,66.897,33.8898797100898
Fiji,5405.03006162671,67.148,4.52019266394958
Finland,50440.560224974,81.1878048780488,7.12350773301401
